,area,zip
0,Ridgewood,11385
1,Gowanus,11215
2,Washington Heights,10033
3,Upper West Side,10024
4,Boerum Hill,11217
5,Flatbush,11226
6,Bensonhurst,11214
7,Yorkville,10028
8,East Elmhurst,11369
9,Brighton Beach,11235
10,Roosevelt Island,10044
11,Parkchester,10462
12,Brooklyn Heights,11201
13,Turtle Bay,10017
14,Far Rockaway,11691
15,Whitestone,11357
16,Throgs Neck,10465
17,Borough Park,11219
18,Kew Gardens,11415
19,Jamaica Estates,11432
20,Kew Gardens Hills,11367
21,Carnegie Hill,10128
22,Bushwick,11221
23,Clinton Hill,11205
24,Murray Hill,11354
25,Flatiron,10003
26,Rego Park,11374
27,East New York,11208
28,University Heights,10453
29,Maspeth,11378
30,Gravesend,11223
31,Coney Island,11224
32,Long Island City,11101
33,Howard Beach,11414
34,Little Italy,10012
35,Corona,11368
36,Pelham Parkway,10461
37,Morningside Heights,10027
38,Middle Village,11379
39,Canarsie,11236
40,Soho,10013
41,Dyker Heights,11228
42,Bayside,11361
43,Bellerose,11426
44,Williamsburg,11211
45,Cobble Hill,11201
46,Riverdale,10471
47,Battery Park City,10281
48,Financial District,10038
49,Midtown South,10019
50,Park Slope,11215
51,Brownsville,11212
52,Bergen Beach,11234
53,Greenwich Village,10012
54,Woodhaven,11421
55,New Dorp,10306
56,Fresh Meadows,11365
57,Glendale,11385
58,Red Hook,11231
59,Pelham Bay,10461
60,Lower East Side,10002
61,Crown Heights,11213
62,Civic Center,10007
63,Tribeca,10013
64,Queens Village,11428
65,Hamilton Heights,10031
66,Prospect Heights,11238
67,Sunnyside,10301
68,Manhattan Valley,10025
69,Kensington,11218
70,Richmond Hill,11418
71,Elmhurst,11373
72,Little Neck,11363
73,Kingsbridge,10463
74,Briarwood,11435
75,Jackson Heights,11372
76,Chelsea,10314
77,Sutton Place,10022
78,North Corona,11368
79,Flatlands,11234
80,Concourse,10456
81,Flushing,11354
82,Bedford Park,10458
83,Lenox Hill,10021
84,Forest Hills,11375
85,West Village,10014
86,Central Harlem,10030
87,Sunset Park,11220
88,Greenpoint,11222
89,Marine Park,11234
90,Sheepshead Bay,11235
91,Woodside,11377
92,Bay Ridge,11209
93,Upper East Side,10075
94,Chinatown,10002
95,East Tremont,10460
96,Ditmas Park,11226
97,Williamsbridge,10467
98,Fort Greene,11217
99,Norwood,10467
100,Windsor Terrace,11218
101,Inwood,10034
102,East Harlem,10029
103,Carroll Gardens,11231
104,Lincoln Square,10023
105,Prospect Lefferts Gardens,11225
106,East Village,10009
107,Wakefield,10466
108,Bath Beach,11214
109,Midtown,10036
110,Midwood,11230
111,Prospect Park South,11226
112,Astoria,11103
